 Country/Region,Brand,LMEsword Code ,Producer,Deliverable Shape,Warrant Issuance,Last Warrantable Date,Special Notes,material, Country/Region,LMEsword Code,Unnamed: 8,GRADES ,99.97,99.985,99.99,99.97.1,99.985.1,99.99.1,99.994,99.97.2,99.995
Australia,ISA,ISA,Mount Isa Mines Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Australia,OLYDA,OLYDA,BHP Olympic Dam Corporation Pty Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Austria,BRX,BRX,Montanwerke Brixlegg Aktiengesellschaft,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Belgium,OLEN,OLEN,Aurubis Belgium n.v./s.a.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Brazil,CbM,CBM,Paranapanema S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Brazil,CbM-P,CbMP,Paranapanema S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Bulgaria,PIRDOP,PIRDOP,Aurubis Bulgaria AD,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Canada,NORANDA,NORA,Glencore Canada Corporation,Full plate cathodes,WARRANTABLE,,Produced after October 1999,Copper - Grade A,,,,,,,,,,,,,
Chile,ABRA,ABRA,Sociedad Contractual Minera El Abra,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,AE,AECOP,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,AE SX EW,AESXEW,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,CASERONES,CASER,SCM Minara Lumina Copper Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,CCCP,CCCP,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,CCC-SBL,CCCSBL,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,CHUQUI-P,CHUQUI,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,CMCC,CMCC,Compañia Minera Cerro Colorado Ltda,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,ENM,ENM,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,ESOX,ESOX,Minera Escondida Limitada,Full plate cathodes,WARRANTABLE,,Produced after April 1999,Copper - Grade A,,,,,,,,,,,,,
Chile,GABY,GABY,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,LBF,LBF,Compañía Minera Lomas Bayas,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,MET,MET,Minera Centinela,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,MIC-P,MICP,Minera HMC S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,MIC-T,MICT,Minera Michilla S.A,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Chile,MB,MB,Capstones Copper Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,MV,MV,Mantoverde S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,QB,QB,Compania Minera Teck Quebrada Blanca S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,RT,RT,Corporacion Nacional del Cobre de Chile,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,SPENCE,SPENCE,Minera Spence S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Chile,ZALDIVAR,ZALDIV,Compania Minera Zaldivar,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,DJ-A,DJA,"Daye Nonferrous Metals Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,DJ-B,DJB,"Daye Nonferrous Metals Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,DN-TIEFENG ,DNTIEF,"China Copper Southeast Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,CF-TIEFENG ,CFTIEF,"Chifeng Yuntong Non-Ferrous Metals Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
