Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%
Mount Isa Mines Ltd,ISA,Copper - Grade A,Australia,,,ISA Group,ISA Group
BHP Olympic Dam Corporation Pty Ltd,OLYDA,Copper - Grade A,Australia,,,,
Montanwerke Brixlegg Aktiengesellschaft,BRX,Copper - Grade A,Austria,,,,
Aurubis Belgium n.v./s.a.,OLEN,Copper - Grade A,Belgium,,,,
Paranapanema S.A.,CbM,Copper - Grade A,Brazil,,,,
Paranapanema S.A.,CbM-P,Copper - Grade A,Brazil,,,,
Aurubis Bulgaria AD,PIRDOP,Copper - Grade A,Bulgaria,,,,
Glencore Canada Corporation,NORANDA,Copper - Grade A,Canada,,Glencore,,
Sociedad Contractual Minera El Abra,ABRA,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,AE,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,AE SX EW,Copper - Grade A,Chile,,,,
SCM Minara Lumina Copper Chile,CASERONES,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,CCCP,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,CCC-SBL,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,CHUQUI-P,Copper - Grade A,Chile,,,,
Compañia Minera Cerro Colorado Ltda,CMCC,Copper - Grade A,Chile,,,,CMCC
Corporacion Nacional del Cobre de Chile,ENM,Copper - Grade A,Chile,,,,
Minera Escondida Limitada,ESOX,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,GABY,Copper - Grade A,Chile,,,,
Compañía Minera Lomas Bayas,LBF,Copper - Grade A,Chile,,,,
Minera Centinela,MET,Copper - Grade A,Chile,,,,
Minera HMC S.A.,MIC-P,Copper - Grade A,Chile,,HMC,,
Minera Michilla S.A,MIC-T,Copper - Grade A,Chile,,,,
Capstones Copper Corporation,MB,Copper - Grade A,Chile,,,,
Mantoverde S.A.,MV,Copper - Grade A,Chile,,,,
Compania Minera Teck Quebrada Blanca S.A.,QB,Copper - Grade A,Chile,,,,
Corporacion Nacional del Cobre de Chile,RT,Copper - Grade A,Chile,,,,
Minera Spence S.A.,SPENCE,Copper - Grade A,Chile,,,,
Compania Minera Zaldivar,ZALDIVAR,Copper - Grade A,Chile,,,,
"Daye Nonferrous Metals Co., Ltd",DJ-A,Copper - Grade A,China,,,,
"Daye Nonferrous Metals Co., Ltd",DJ-B,Copper - Grade A,China,,,,
"China Copper Southeast Copper Co., Ltd",DN-TIEFENG ,Copper - Grade A,China,,,,
"Chifeng Yuntong Non-Ferrous Metals Co., Ltd",CF-TIEFENG ,Copper - Grade A,China,,,,
Jiangxi Copper Company Ltd.,GUIYE,Copper - Grade A,China,Jiangxi Copper Company,,,
Heilongjiang Zijin Copper Co Ltd,HLJ ZIJIN,Copper - Grade A,China,,,,Zijin
"Shandong Humon Smelting Co., Ltd",HUMON-D,Copper - Grade A,China,,,,
Jiangxi Copper Company Ltd.,JCC,Copper - Grade A,China,Jiangxi Copper Company,,,JCC
"Jiangxi Copper (QingYuan) Co., Ltd",JCC-QY,Copper - Grade A,China,,,,JCC
"Jilin Zijin Copper Co., Ltd",JILIN ZIJIN,Copper - Grade A,China,,,,Zijin
"Zhejiang Jiangtong Fuye Heding Copper Co., Ltd",JINFENG,Copper - Grade A,China,,,,
"Jinlong Copper Co., Ltd",JINTUN,Copper - Grade A,China,,,,
"Dongying Jinxi Copper Co., Ltd",JINXI,Copper - Grade A,China,,,,
"Jinchuan Group Co., Ltd.",JNMC,Copper - Grade A,China,,Jinchuan International,,
Guangxi Jinchuan Non-Ferrous Metals Co Ltd,JNMCc,Copper - Grade A,China,,,,
Dongying Lufang Metals Material Co Ltd,LFC,Copper - Grade A,China,,,,
"Yunnan Copper Industry Co., Ltd",TIE FENG,Copper - Grade A,China,,,,
"Tongling Nonferrous Metals Group Co., Ltd.",TG-JG,Copper - Grade A,China,,Hunan Nonferrous Metals Group,,
"Jinlong Copper Co., Ltd",TG-JL,Copper - Grade A,China,,,,
YangGu Xiangguang Copper Co Ltd,XGC,Copper - Grade A,China,,,,
YangGu Xiangguang Copper Co Ltd,XGC II,Copper - Grade A,China,,,,
"Henan Yuguang Gold & Lead Co., Ltd",YG,Copper - Grade A,China,Henan Yuguang Gold & Lead,,,
"Zijin Copper Co., Ltd",ZIJIN,Copper - Grade A,China,,Zijin,,Zijin
"Guangxi Nanko Copper Co., Ltd.",QL,Copper - Grade A,China,,,,
Henan Zhongyuan Gold Smelter LLC,ZJZY,Copper - Grade A,China,,,,
Boliden Harjavalta Oy,BCH,Copper - Grade A,Finland,,,,
Aurubis AG,HK,Copper - Grade A,Germany,,,,HK
Aurubis AG,NA-ESN,Copper - Grade A,Germany,,,,
Hindalco Industries Limited,BIRLA COPPER,Copper - Grade A,India,,,,
Hindalco Industries Limited,BIRLA COPPER II,Copper - Grade A,India,,,,
Vedanta Limited,STERLITE,Copper - Grade A,India,,Vedanta Resources,,
Vedanta Limited,STERLITE T,Copper - Grade A,India,,Vedanta Resources,,
PT Smelting,GRESIK,Copper - Grade A,Indonesia,PT Smelting,,,
JX Nippon Mining & Metals Corporation,HR,Copper - Grade A,Japan,,Nippon Mining,,
Mitsubishi Materials Corporation,MITSUBISHI,Copper - Grade A,Japan,,,Mitsubishi Group,Mitsubishi Group
Onahama Smelting & Refining Co Ltd,OSR,Copper - Grade A,Japan,,,,
JX Nippon Mining & Metals Corporation,SR-P,Copper - Grade A,Japan,,Nippon Mining,,
"Sumitomo Metal Mining Co., Ltd.",SUMIKO N,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Sumitomo Metal Mining Co., Ltd.",SUMIKO-S,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Sumitomo Metal Mining Co., Ltd.",SUMIKO T,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Hibi Kyodo Smelting Co., Ltd",TAMANO-P,Copper - Grade A,Japan,,,,
LS MnM.,ONSAN I,Copper - Grade A,Korea (South),,LS C&S,,
LS MnM.,ONSAN II,Copper - Grade A,Korea (South),,LS C&S,,
Lane Xang Minerals Limited,SEPON,Copper - Grade A,Laos,,,,
Metalurgica de Cobre S.A. de C.V.,CER,Copper - Grade A,Mexico,,,,
Myanmar Wanbao Mining Copper Ltd.,MONYWA LPT,Copper - Grade A,Myanmar,,,,
Myanmar Yang Tse Copper Limited,MONYWA S&K,Copper - Grade A,Myanmar,,,,
Glencore Nikkelverk AS,FHG,Copper - Grade A,Norway,,Glencore,,
Sociedad Contractual Minera Cerro Verde,SMCV,Copper - Grade A,Peru,,,,
Southern Peru Copper Corporation,SPCC-ILO,Copper - Grade A,Peru,,Southern,,
Southern Peru Copper Corporation,SPCC-SXEW,Copper - Grade A,Peru,,Southern,,
Philippine Associated Smelting and Refining Corporation,PSR ISABEL,Copper - Grade A,Philippines,,,,
KGHM Polska Miedz SA,HMG-B,Copper - Grade A,Poland,,,,
KGHM Polska Miedz SA,HMG-S,Copper - Grade A,Poland,,,,
KGHM Polska Miedz SA,HML,Copper - Grade A,Poland,,,,
PJSC “MMC “Norilsk Nickel”,NORNICKEL ,Copper - Grade A,Russia,,,,
PJSC “MMC “Norilsk Nickel”,NORILSK,Copper - Grade A,Russia,,,,
JSC Uralelektromed,UMMC,Copper - Grade A,Russia,,,,
JSC Uralelektromed,UMMC II,Copper - Grade A,Russia,,,,
Palabora Mining Company Limited,RIO TINTO PALABORA MINING COMPANY LIMITED,Copper - Grade A,South Africa,,,,Rio Tinto
Atlantic Copper S.L.U.,FMS,Copper - Grade A,Spain,,,,
Cobre Las Cruces S.A.,FQM-CLC,Copper - Grade A,Spain,,,,
Boliden Mineral AB,BK,Copper - Grade A,Sweden,,,,
ASARCO LLC,ATR,Copper - Grade A,USA,,,,
Freeport-McMoRan Copper & Gold Inc.,CBCC,Copper - Grade A,USA,,Freeport-McMoRan,,
Freeport-McMoRan Copper & Gold Inc.,CTB,Copper - Grade A,USA,,Freeport-McMoRan,,
Kennecott Utah Copper LLC,KUC,Copper - Grade A,USA,,,,
Freeport-McMoRan Copper & Gold Inc.,P*D,Copper - Grade A,USA,,Freeport-McMoRan,,
Freeport-McMoRan Copper & Gold Inc.,PD*GO,Copper - Grade A,USA,,Freeport-McMoRan,,
Freeport-McMoRan Copper & Gold Inc.,PDMI,Copper - Grade A,USA,,Freeport-McMoRan,,
Freeport-McMoRan Copper & Gold Inc.,PDSS,Copper - Grade A,USA,,Freeport-McMoRan,,
Chambishi Metals Plc,CMC,Copper - Grade A,Zambia,Chambishi Metals,,CMC Group,CMC
Mopani Copper Mines Plc,MCM2,Copper - Grade A,Zambia,,,,
Konkola Copper Mines plc,REC,Copper - Grade A,Zambia,,,,
Nyrstar Sales & Marketing AG,NYRSTAR BHAS 9997,Lead,,,,,
Nyrstar Sales & Marketing AG,NYRSTAR BHAS 9999,Lead,,,,,
Nyrstar Sales & Marketing AG,ZINIFEX BHAS BROKEN HILL - AUSTRALIA 9997,Lead,,,,,
ECOBAT Resources Austria,BBU,Lead,,,,,
Campine Recycling NV,MCR MADE IN BELGIUM,Lead,,,,,
Umicore,UMICORE 99.97,Lead,,Umicore,,,
Umicore,UMICORE 99.985,Lead,,Umicore,,,
Umicore,UMICORE 99.99,Lead,,Umicore,,,
KCM AD,KUM 99.97%,Lead,,,,,
KCM AD,KUM 99.99%,Lead,,,,,
Teck Metals Ltd.,TECK COMINCO,Lead,,,,,
Terrapure Environmental,NOVA PB 9997,Lead,,,,,
Terrapure Environmental,TONOLLI CANADA,Lead,,,,,
"Honghe Red Lead Chemical Co., Ltd.",HS Pb99.994PCT,Lead,,,,,
"Baiyin Nonferrous Group Co., Ltd.",IBIS,Lead,,,,,
"Henan Jinli Gold and Lead Group Co., Ltd",JIJIN,Lead,,,,,
"Hunan Yuteng Nonferrous Metals Co., Ltd.",JINYUTENG,Lead,,,Hunan Nonferrous Metals Group,,
Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,NH-R,Lead,,,,,
Guangxi Nandan Nanfang Metal Company Limited,NF,Lead,,,,,
"Hunan Shui Kou Shan Nonferrous Metals Group Co., Ltd.",SKS,Lead,,,Hunan Nonferrous Metals Group,,
"Jiyuan Wanyang Smeltery Group Co., Ltd.",WANYANG,Lead,,,,,
"Henan Yuguang Gold and Lead Co., Ltd",YUGUANG,Lead,,Henan Yuguang Gold & Lead,,,
"Yunnan Zhenxing Industry Group Co., Ltd.",YUNSHA PB99.994%MIN,Lead,,,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YQ 99994,Lead,,,,,
"Luoyang Yongning Nonferrous Technology Co., Ltd",YNG,Lead,,,,,
Shadian Refinery,YY PB 99.994PCT,Lead,,,,,
Metalblanc,FMB PB970R,Lead,,,,,
Metalblanc,FMB PB985R,Lead,,,,,
Affinerie de Pont Sainte Maxence,GAST 970R,Lead,,,,,
Societe de Traitements Chimiques des Metaux,STCM 970R,Lead,,,,,
Aurubis AG,AURUBIS F99.985,Lead,,,,,
ECOBAT Resources Braubach,BSB,Lead,,,,,
ECOBAT Resources Freiberg,F,Lead,,,,,
Nordenham Metall GmbH,ME WESER,Lead,,,,,
ECOBAT Resources Stolberg,STOLBERG,Lead,,,,,
Pondy Oxides and Chemicals Limited,POCL PB970R,Lead,,,,,
Hindustan Zinc Ltd.,VEDANTA 99.99,Lead,,,,,
Hindustan Zinc Ltd.,VEDANTA PB 99.99,Lead,,,,,
PT. Indra Eramulti Logam Industri,IMLI PB 99.97,Lead,,,,,
PT. Indra Eramulti Logam Industri,IMLI PB 99.99,Lead,,,,,
Hakurnas Lead Works Ltd.,HK970R,Lead,,,,,
Piombifera Italiana S.p.A.,MAK-1,Lead,,,,,
Piomboleghe Srl,P. COLOMBO,Lead,,,,,
Eco-Bat S.r.l.,ECO BAT,Lead,,,,,
Portovesme Srl,SAN GAVINO,Lead,,,,,
Mitsui Mining & Smelting Co Ltd,EMK-K,Lead,,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,
Mitsui Mining & Smelting Co Ltd,EMK-T,Lead,,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,
Toho Zinc Co Ltd,TAK,Lead,,,,,
"Hosokura Metal Mining Co., Ltd.",THREE DIAMOND,Lead,,,,,
Kazzinc Ltd.,YK,Lead,,Kazzinc,,,
Korea Zinc Co Ltd,KZ-LEAD,Lead,,,,,
Joong-IL Metals Inc.,JIM 99.985,Lead,,,,,
Arayby for Industrial & Trading Company s.a.r.l.,ARAYBY 99.97% MADE IN A.C. LEBANON,Lead,,,,,
Arayby for Industrial & Trading Company s.a.r.l.,ARAYBY 99.985% MADE IN A.C. LEBANON,Lead,,,,,
Metalurgica Met-Mex Penoles SA de CV,PENOLES,Lead,,,,,
"Corporación Pipsa, S.A. de C.V.",PIPSA 99.970%,Lead,,,,,
Orzel Bialy S.A.,EAGLE 9997,Lead,,,,,
"Huta Cynku ""Miasteczko Slaskie"" S.A.",H20POLSKAMS,Lead,,,,,
KGHM Polska Miedz SA,KGHM PB970R,Lead,,,,,
KGHM Polska Miedz SA,KGHM PB985R,Lead,,,,,
KGHM Polska Miedz SA,KGHM PB990R,Lead,,,,,
Fregat LLC,FRGT PB985R,Lead,,,,,
Fry's Metals - a Division of Zimco Group (Pty) Ltd,FRY'S 99.97 RSL,Lead,,,,,
"Metalurgica de Medina, S.A.",FESA,Lead,,,,,
Derichebourg España S.A.U,RECOBAT PB,Lead,,,,,
Derichebourg España S.A.U,RECOBAT PB985R,Lead,,,,,
"Exide Technologies, S.L.U.",TUDOR,Lead,,,,,
Boliden Bergsoe AB,BERA,Lead,,,,,
Boliden Mineral AB,BOLIDEN 9997,Lead,,,,,
Jian Shin Resources Corporation,JS PB970R,Lead,,,,,
Thye Ming Industrial Co Ltd,TMI,Lead,,,,,
"Bergsoe Metals Co., Ltd",BML PB99.97,Lead,,,,,
"Bergsoe Metals Co., Ltd.",XINXIN.BML 99.994,Lead,,,,,
Britannia Refined Metals Ltd,BLCO 9997%,Lead,,,,,
Britannia Refined Metals Ltd,BLCO 9999%,Lead,,,,,
Britannia Refined Metals Ltd,BLCO 99994%,Lead,,,,,
Britannia Refined Metals Ltd,BLCO 99995%,Lead,,,,,
Britannia Refined Metals Ltd,BLCO 99985,Lead,,,,,
H.J. Enthoven & Sons,HJ ENTHOVEN & SONS,Lead,,,,,
"CJSC ""SVINETS""",SVINETS 99.97,Lead,,,,,
"CJSC ""SVINETS""",SVINETS 99.99,Lead,,,,,
"Sanders Lead Co., Ltd.",SANDERS,Lead,,,,,
RSR Corporation,REVERE,Lead,,,,,
RSR Corporation,RSR-CLFR,Lead,,,,,
RSR Corporation,RSR-INDY,Lead,,,,,
Nyrstar Sales & Marketing AG,NYRSTAR A-Z Z1,Special High Grade Zinc,Australia,,,,
Sun Metals Corporation Pty Ltd,SMC SHG 99.995,Special High Grade Zinc,Australia,,Sun Corporation,,SMC
Nyrstar Sales & Marketing AG,NYRSTAR OVERPELT Z1,Special High Grade Zinc,Belgium,,,,
Nexa Recursos Minerais S.A.,VOTORANTIM JF ZINC SHG,Special High Grade Zinc,Brazil,,,,Votorantim
Nexa Recursos Minerais S.A.,VOTORANTIM TM ZINC SHG,Special High Grade Zinc,Brazil,,,,Votorantim
KCM AD,KUM 99.995,Special High Grade Zinc,Bulgaria,,,,
"Canadian Electrolytic Zinc Limited, On behalf of Noranda Income Limited Partnership",CEZINC SHG,Special High Grade Zinc,Canada,,,,
Teck Metals Ltd.,TECK COMINCO CANADA SHG,Special High Grade Zinc,Canada,,,,
"Hanzhong Zinc Industry Co., Ltd",BYXY SHG,Special High Grade Zinc,China,,,,
"Sichuan Hongda Co., Ltd.",G CI SHAN SHG,Special High Grade Zinc,China,,,,
"Huludao Zinc Industry Co., Ltd.",HX SHG,Special High Grade Zinc,China,,,,
"Chifeng NFC Zinc Co., Ltd.",HY99.995,Special High Grade Zinc,China,,,,
"Baiyin Nonferrous Group Co., Ltd.",IBIS SHG,Special High Grade Zinc,China,,,,
Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,NH-SHG,Special High Grade Zinc,China,,,,
"Zhuzhou Smelter Group Co., Ltd.",TORCH III SHG,Special High Grade Zinc,China,,,,
"Henan Yuguang Zinc Industry Co., Ltd.",YG SHG,Special High Grade Zinc,China,,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YH99.995,Special High Grade Zinc,China,,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YQ99.995,Special High Grade Zinc,China,,,,
"Bayannaoer Zijin Non-ferrous Metal Co., Ltd",ZIJIN SHG,Special High Grade Zinc,China,,,,Zijin
Boliden Kokkola Oy,KOKKOLA ZINC SHG,Special High Grade Zinc,Finland,,,,
Hindustan Zinc Ltd.,HZL SHG 99.995,Special High Grade Zinc,India,,,,
Hindustan Zinc Ltd.,HZL Zn SHG 99.995,Special High Grade Zinc,India,,,,
Hindustan Zinc Ltd.,VEDANTA SHG 99.995,Special High Grade Zinc,India,,,,
Hindustan Zinc Ltd.,VEDANTA Zn SHG 99.995,Special High Grade Zinc,India,,,,
Portovesme Srl,NUOVA SAMIM Zn 99.995%,Special High Grade Zinc,Italy,,,,
Akita Zinc Co Ltd,AZC SHG,Special High Grade Zinc,Japan,,,,
Mitsui Mining & Smelting Co Ltd,EMC-H SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,
Mitsui Mining & Smelting Co Ltd,EMC-K SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,
Mitsui Mining & Smelting Co Ltd,HSC-SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,
Toho Zinc Co Ltd,TOHO SHG,Special High Grade Zinc,Japan,,,,
Korea Zinc Co Ltd,KZ-SHG 99.995,Special High Grade Zinc,Korea (South),,,,
Young Poong Corporation,YP-SHG,Special High Grade Zinc,Korea (South),,,,
"Industrial Minera Mexico, S.A. de C.V.",IMM SLP SHG99995,Special High Grade Zinc,Mexico,,,,
Metalurgica Met-Mex Penoles SA de CV,PENOLES SHG,Special High Grade Zinc,Mexico,,,,
Namzinc (Proprietary) Ltd,SZ SHG,Special High Grade Zinc,Nambia,,,,
