Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%,Match,Location,Category,Website
Mount Isa Mines Ltd,ISA,Copper - Grade A,Australia,,,ISA Group,ISA Group,1,United States of America,Health Sector: General,http://www.isa.com.co
BHP Olympic Dam Corporation Pty Ltd,OLYDA,Copper - Grade A,Australia,,,,,0,,,
Montanwerke Brixlegg Aktiengesellschaft,BRX,Copper - Grade A,Austria,,,,,0,,,
Aurubis Belgium n.v./s.a.,OLEN,Copper - Grade A,Belgium,,,,,0,,,
Paranapanema S.A.,CbM,Copper - Grade A,Brazil,,,,,0,,,
Paranapanema S.A.,CbM-P,Copper - Grade A,Brazil,,,,,0,,,
Aurubis Bulgaria AD,PIRDOP,Copper - Grade A,Bulgaria,,,,,0,,,
Glencore Canada Corporation,NORANDA,Copper - Grade A,Canada,,Glencore,,,1,Switzerland,"Metals & steel, Mining, Oil, gas & coal",https://www.glencore.com/
Sociedad Contractual Minera El Abra,ABRA,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,AE,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,AE SX EW,Copper - Grade A,Chile,,,,,0,,,
SCM Minara Lumina Copper Chile,CASERONES,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,CCCP,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,CCC-SBL,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,CHUQUI-P,Copper - Grade A,Chile,,,,,0,,,
Compañia Minera Cerro Colorado Ltda,CMCC,Copper - Grade A,Chile,,,,CMCC,1,,,
Corporacion Nacional del Cobre de Chile,ENM,Copper - Grade A,Chile,,,,,0,,,
Minera Escondida Limitada,ESOX,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,GABY,Copper - Grade A,Chile,,,,,0,,,
Compañía Minera Lomas Bayas,LBF,Copper - Grade A,Chile,,,,,0,,,
Minera Centinela,MET,Copper - Grade A,Chile,,,,,0,,,
Minera HMC S.A.,MIC-P,Copper - Grade A,Chile,,HMC,,,1,,,
Minera Michilla S.A,MIC-T,Copper - Grade A,Chile,,,,,0,,,
Capstones Copper Corporation,MB,Copper - Grade A,Chile,,,,,0,,,
Mantoverde S.A.,MV,Copper - Grade A,Chile,,,,,0,,,
Compania Minera Teck Quebrada Blanca S.A.,QB,Copper - Grade A,Chile,,,,,0,,,
Corporacion Nacional del Cobre de Chile,RT,Copper - Grade A,Chile,,,,,0,,,
Minera Spence S.A.,SPENCE,Copper - Grade A,Chile,,,,,0,,,
Compania Minera Zaldivar,ZALDIVAR,Copper - Grade A,Chile,,,,,0,,,
"Daye Nonferrous Metals Co., Ltd",DJ-A,Copper - Grade A,China,,,,,0,,,
"Daye Nonferrous Metals Co., Ltd",DJ-B,Copper - Grade A,China,,,,,0,,,
"China Copper Southeast Copper Co., Ltd",DN-TIEFENG ,Copper - Grade A,China,,,,,0,,,
"Chifeng Yuntong Non-Ferrous Metals Co., Ltd",CF-TIEFENG ,Copper - Grade A,China,,,,,0,,,
Jiangxi Copper Company Ltd.,GUIYE,Copper - Grade A,China,Jiangxi Copper Company,,,,1,China,Mining,http://www.jxcc.com/
Heilongjiang Zijin Copper Co Ltd,HLJ ZIJIN,Copper - Grade A,China,,,,Zijin,1,,,
"Shandong Humon Smelting Co., Ltd",HUMON-D,Copper - Grade A,China,,,,,0,,,
Jiangxi Copper Company Ltd.,JCC,Copper - Grade A,China,Jiangxi Copper Company,,,JCC,1,China,Mining,http://www.jxcc.com/
